,Arts & Entertainment,Biography & Memoir,Children’s Books,Cooking,Fantasy,Graphic Novels & Manga,History,Literary Fiction,Mystery & Suspense,Popular Science,Religion & Philosophy,Romance,Science Fiction,Self-Improvement,Teen & Young Adult
Arts & Entertainment,0.81,0.03,0.02,0.0,0.0,0.01,0.04,0.01,0.0,0.02,0.01,0.0,0.0,0.02,0.01
Biography & Memoir,0.01,0.71,0.02,0.0,0.0,0.0,0.07,0.07,0.03,0.01,0.01,0.0,0.0,0.03,0.03
Children’s Books,0.02,0.02,0.73,0.0,0.02,0.04,0.03,0.01,0.01,0.02,0.01,0.01,0.02,0.0,0.07
Cooking,0.01,0.01,0.01,0.96,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fantasy,0.0,0.01,0.04,0.0,0.77,0.03,0.0,0.02,0.03,0.0,0.01,0.04,0.04,0.0,0.02
Graphic Novels & Manga,0.01,0.01,0.02,0.0,0.07,0.69,0.01,0.02,0.05,0.0,0.0,0.01,0.06,0.0,0.05
History,0.01,0.08,0.01,0.0,0.0,0.0,0.79,0.01,0.02,0.03,0.02,0.0,0.0,0.01,0.02
Literary Fiction,0.01,0.07,0.01,0.0,0.02,0.01,0.01,0.74,0.03,0.0,0.0,0.01,0.01,0.0,0.08
Mystery & Suspense,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.03,0.86,0.0,0.0,0.03,0.02,0.0,0.02
Popular Science,0.03,0.02,0.02,0.02,0.0,0.0,0.02,0.01,0.0,0.82,0.03,0.0,0.0,0.02,0.0
Religion & Philosophy,0.01,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.05,0.8,0.0,0.0,0.08,0.0
Romance,0.0,0.02,0.01,0.0,0.03,0.0,0.0,0.04,0.03,0.0,0.0,0.83,0.0,0.0,0.04
Science Fiction,0.0,0.0,0.01,0.0,0.07,0.03,0.0,0.04,0.02,0.0,0.0,0.0,0.78,0.0,0.03
Self-Improvement,0.0,0.04,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.9,0.0
Teen & Young Adult,0.01,0.01,0.06,0.0,0.06,0.04,0.02,0.08,0.04,0.0,0.01,0.03,0.04,0.01,0.6
